County,RUCC_2013,Metro
Albany,2,Metro
Allegany,7,Nonmetro
Bronx,1,Metro
Broome,2,Metro
Cattaraugus,4,Nonmetro
Cayuga,4,Nonmetro
Chautauqua,4,Nonmetro
Chemung,3,Metro
Chenango,6,Nonmetro
Clinton,5,Nonmetro
Columbia,6,Nonmetro
Cortland,4,Nonmetro
Delaware,6,Nonmetro
Dutchess,1,Metro
Erie,1,Metro
Essex,6,Nonmetro
Franklin,7,Nonmetro
Fulton,4,Nonmetro
Genesee,4,Nonmetro
Greene,6,Nonmetro
Hamilton,8,Nonmetro
Herkimer,2,Metro
Jefferson,3,Metro
Kings,1,Metro
Lewis,6,Nonmetro
Livingston,1,Metro
Madison,2,Metro
Monroe,1,Metro
Montgomery,4,Nonmetro
Nassau,1,Metro
NewYork,1,Metro
Niagara,1,Metro
Oneida,2,Metro
Onondaga,2,Metro
Ontario,1,Metro
Orange,1,Metro
Orleans,1,Metro
Oswego,2,Metro
Otsego,7,Nonmetro
Putnam,1,Metro
Queens,1,Metro
Rensselaer,2,Metro
Richmond,1,Metro
Rockland,1,Metro
Saratoga,2,Metro
Schenectady,2,Metro
Schoharie,2,Metro
Schuyler,6,Nonmetro
Seneca,6,Nonmetro
Steuben,4,Nonmetro
StLawrence,4,Nonmetro
Suffolk,1,Metro
Sullivan,4,Nonmetro
Tioga,2,Metro
Tompkins,3,Metro
Ulster,3,Metro
Warren,3,Metro
Washington,3,Metro
Wayne,1,Metro
Westchester,1,Metro
Wyoming,6,Nonmetro
Yates,1,Metro
