UniqueID_2cnty,SqMiles,ALAND10,AWATER10,TotPop,PopOver18,MaleOver18,FemOver18,Estimate_MedianIncome_2015,Perc_BachelorsDeg_and_higher,White_and_combination,White_only,MedianAge_Total,MedianAge_Male,MedianAge_Female
Albany,523,1354056384,27189291,304204,243573,116047,127526,59887,38.6,244245,237873,38.5,36.8,40
Allegany,1029,2665894548,13153777,48946,38370,19298,19072,42776,20,47605,47085,37.8,36.2,39.2
Bronx,42,109028908,39838229,1385108,1016912,462040,554872,34299,18.9,427659,386497,32.8,30.6,34.9
Broome,706,1827925580,25248569,200600,160041,77540,82501,46261,27.2,181009,176444,40.2,38.1,42.2
Cattaraugus,1308,3388612085,36610366,80317,61516,30110,31406,42601,17.8,75918,74639,40.7,39.8,41.6
Cayuga,692,1791189978,445707605,80026,62728,31929,30799,52082,21.4,75378,74042,41.5,40,43.1
Chautauqua,1060,2745973829,1139483300,134905,105459,51323,54136,42993,20.9,127434,124875,40.9,39.6,42.3
Chemung,407,1055035677,8877179,88830,68950,33973,34977,50320,23.4,81009,78771,40.9,39.4,42.4
Chenango,894,2314279661,13161203,50477,38998,19282,19716,45668,17.4,49525,48896,42.9,42,43.9
Clinton,1038,2688025469,206355454,82128,66238,33912,32326,49930,22.1,77099,75997,39.1,38,40.2
Columbia,635,1643879273,35121043,63096,50289,24995,25294,59105,29.3,58319,57136,45.3,44.4,46.2
Cortland,499,1291782573,7144297,49336,38925,18813,20112,49514,23.6,47697,46901,35.8,35.3,36.4
Delaware,1442,3735902531,64765808,47980,38575,19317,19258,43720,20.2,46241,45675,45.4,44.3,46.3
Dutchess,796,2060671707,76968747,297488,231519,114222,117297,71904,33.4,244919,238387,40.2,39.2,41.2
Erie,1043,2700563452,476973805,919040,720096,341635,378461,51247,31.6,749229,735244,40.4,38.5,42.1
Essex,1794,4647029522,315977756,39370,31784,16480,15304,52758,24.2,37536,37100,44.5,42.5,46.4
Franklin,1629,4219398044,177032265,51599,40879,22767,18112,47923,17.7,44021,43437,39.3,37.3,41.8
Fulton,495,1283258864,96893251,55531,43205,21191,22014,46969,16.2,53684,52948,41.8,40.6,43
Genesee,493,1276697637,6142600,60079,46820,23054,23766,50880,20,56763,55787,41.5,40.3,42.6
Greene,647,1676140222,28201066,49221,39739,20828,18911,50278,20.6,45212,44440,44,42.3,45.9
Hamilton,1717,4447975965,234214069,4836,4041,2037,2004,48243,24.5,4755,4705,51.3,50.9,51.8
Herkimer,1411,3655689412,120400469,64519,50221,24355,25866,46229,22.4,63066,62320,42.1,41.1,43.1
Jefferson,1269,3285632368,1524548726,116229,86596,44198,42398,49505,20.7,105977,103047,32.6,31.2,34.2
