"","County","GEOID10","UniqueID_2cnty","SqMiles","ALAND10","AWATER10","TotPop","PopOver18","MaleOver18","FemOver18","Estimate_MedianIncome_2015","Perc_BachelorsDeg_and_higher","White_and_combination","White_only","MedianAge_Total","MedianAge_Male","MedianAge_Female","Bernie","Hillary","Trump","Kasich","Cruz","County.1","Trump_twt","Kasich_twt","Cruz_twt","Hillary_twt","Bernie_twt","Unclear_twt","d17_Bernie","d18_Bernie","d19b4_Bernie","d20_Bernie","d19aft_Bernie","d17_Cruz","d18_Cruz","d19b4_Cruz","d20_Cruz","d19aft_Cruz","d17_Hillary","d18_Hillary","d19b4_Hillary","d20_Hillary","d19aft_Hillary","d17_Kasich","d18_Kasich","d19b4_Kasich","d20_Kasich","d19aft_Kasich","d17_Trump","d18_Trump","d19b4_Trump","d20_Trump","d19aft_Trump","d17_Unclear","d18_Unclear","d19b4_Unclear","d20_Unclear","d19aft_Unclear","AllTweets","BeforeElectionCalled_Bernie","BeforeElectionCalled_Hillary","BeforeElectionCalled_Cruz","BeforeElectionCalled_Kasich","BeforeElectionCalled_Trump","TotRTwt","TotTwt","TotDTwt","Cruz_VS","Trump_VS","Kasich_VS","Bernie_VS","Hillary_VS","Bernie_TS17","Hillary_TS17","Cruz_TS17","Trump_TS17","Kasich_TS17","Bernie_TS18","Hillary_TS18","Cruz_TS18","Trump_TS18","Kasich_TS18","Bernie_TS19b4","Hillary_TS19b4","Cruz_TS19b4","Trump_TS19b4","Kasich_TS19b4","Bernie_TS19aft_u","Hillary_TS19aft_u","Cruz_TS19aft_u","Trump_TS19aft_u","Kasich_TS19aft_u","Bernie_TS20","Hillary_TS20","Cruz_TS20","Trump_TS20","Kasich_TS20","Bernie_TS","Hillary_TS","Cruz_TS","Trump_TS","Kasich_TS","Bernie_TS_b4","Hillary_TS_b4","Cruz_TS_b4","Trump_TS_b4","Kasich_TS_b4","Candidate_VS","Candidate_TS17","Candidate_TS18","Candidate_TS19b4","Candidate_TS19aft_u","Candidate_TS20","Candidate_TS_b4","Candidate_TS","CANDIDATE"
"1","Albany",36001,"Albany",523,1354056384,27189291,304204,243573,116047,127526,59887,38.6,244245,237873,38.5,36.8,40,21798,19914,6793,5026,2390,"Albany",1235,320,317,606,508,359,66,84,239,50,69,72,94,68,55,28,107,127,163,45,164,11,240,47,11,11,268,355,304,172,136,67,79,85,69,59,3345,389,397,234,298,927,1872,2986,1114,0.168203251460342,0.47807727496657,0.353719473573087,0.522583429228999,0.477416570771001,0.38150289017341,0.61849710982659,0.205128205128205,0.763532763532764,0.0313390313390313,0.398104265402844,0.601895734597156,0.136429608127721,0.515239477503628,0.34833091436865,0.59452736318408,0.40547263681592,0.162291169451074,0.725536992840095,0.112171837708831,0.296137339055794,0.703862660944206,0.16,0.777142857142857,0.0628571428571429,0.526315789473684,0.473684210526316,0.23109243697479,0.722689075630252,0.046218487394958,0.456014362657092,0.543985637342908,0.169337606837607,0.659722222222222,0.170940170940171,0.494910941475827,0.505089058524173,0.160383824537354,0.635366689513365,0.20424948594928,0.47807727496657,0.763532763532764,0.515239477503628,0.725536992840095,0.777142857142857,0.722689075630252,0.635366689513365,0.659722222222222,"TRUMP"
"2","Allegany",36003,"Allegany",1029,2665894548,13153777,48946,38370,19298,19072,42776,20,47605,47085,37.8,36.2,39.2,1209,847,2827,1175,1159,"Allegany",28,3,1,12,18,7,3,6,8,0,1,0,1,0,0,0,1,3,3,2,3,1,0,1,1,0,3,6,10,3,6,2,2,1,2,0,69,17,7,1,2,19,32,62,30,0.224568881999612,0.547762061615966,0.227669056384422,0.588035019455253,0.411964980544747,0.75,0.25,0,0.75,0.25,0.666666666666667,0.333333333333333,0.142857142857143,0.857142857142857,0,0.727272727272727,0.272727272727273,0,0.909090909090909,0.0909090909090909,0.25,0.75,0,1,0,0,1,0,0.75,0.25,0.6,0.4,0.03125,0.875,0.09375,0.708333333333333,0.291666666666667,0.0454545454545455,0.863636363636364,0.0909090909090909,0.547762061615966,0.75,0.857142857142857,0.909090909090909,1,0.75,0.863636363636364,0.875,"TRUMP"
"3","Bronx",36005,"Bronx",42,109028908,39838229,1385108,1016912,462040,554872,34299,18.9,427659,386497,32.8,30.6,34.9,46189,105719,4730,1148,1164,"Bronx",980,14,402,851,845,245,89,222,363,89,82,65,123,116,68,30,141,210,153,120,227,3,4,5,1,1,130,222,300,168,160,49,55,48,47,46,3337,674,504,304,12,652,1396,3092,1696,0.165293950582221,0.671684180630503,0.163021868787276,0.304059035732154,0.695940964267846,0.38695652173913,0.61304347826087,0.328282828282828,0.656565656565657,0.0151515151515152,0.513888888888889,0.486111111111111,0.35243553008596,0.636103151862464,0.0114613180515759,0.703488372093023,0.296511627906977,0.275534441805226,0.712589073634204,0.0118764845605701,0.26537216828479,0.73462783171521,0.157068062827225,0.837696335078534,0.00523560209424084,0.425837320574163,0.574162679425837,0.286919831223629,0.708860759493671,0.00421940928270042,0.498231132075472,0.501768867924528,0.287965616045845,0.702005730659026,0.0100286532951289,0.572156196943973,0.427843803056027,0.31404958677686,0.673553719008264,0.012396694214876,0.671684180630503,0.656565656565657,0.636103151862464,0.712589073634204,0.837696335078534,0.708860759493671,0.673553719008264,0.702005730659026,"TRUMP"
"4","Broome",36007,"Broome",706,1827925580,25248569,200600,160041,77540,82501,46261,27.2,181009,176444,40.2,38.1,42.2,10151,7641,8923,5138,3953,"Broome",152,13,54,148,151,46,36,23,68,11,13,19,5,18,8,4,33,23,24,27,41,0,9,2,0,2,15,36,48,11,42,11,9,16,5,5,564,127,80,42,11,99,219,518,299,0.219440435217053,0.495336960142112,0.285222604640835,0.570537320143885,0.429462679856115,0.521739130434783,0.478260869565217,0.558823529411765,0.441176470588235,0,0.5,0.5,0.1,0.72,0.18,0.739130434782609,0.260869565217391,0.264705882352941,0.705882352941177,0.0294117647058824,0.240740740740741,0.759259259259259,0.0833333333333333,0.875,0.0416666666666667,0.289473684210526,0.710526315789474,0.421052631578947,0.578947368421053,0,0.505016722408027,0.494983277591973,0.246575342465753,0.694063926940639,0.0593607305936073,0.613526570048309,0.386473429951691,0.276315789473684,0.651315789473684,0.0723684210526316,0.495336960142112,0.441176470588235,0.72,0.705882352941177,0.875,0.578947368421053,0.651315789473684,0.694063926940639,"TRUMP"
"5","Cattaraugus",36009,"Cattaraugus",1308,3388612085,36610366,80317,61516,30110,31406,42601,17.8,75918,74639,40.7,39.8,41.6,2481,1844,3636,1419,1298,"Cattaraugus",72,1,6,20,42,6,4,6,23,2,7,1,2,1,1,1,4,3,4,1,8,0,0,0,1,0,5,39,18,7,3,1,1,0,2,2,147,33,11,4,0,62,79,141,62,0.20431292302849,0.572328033999685,0.223359042971824,0.57364161849711,0.42635838150289,0.5,0.5,0.166666666666667,0.833333333333333,0,0.666666666666667,0.333333333333333,0.0487804878048781,0.951219512195122,0,0.851851851851852,0.148148148148148,0.0526315789473684,0.947368421052632,0,0.466666666666667,0.533333333333333,0.25,0.75,0,0.666666666666667,0.333333333333333,0.111111111111111,0.777777777777778,0.111111111111111,0.67741935483871,0.32258064516129,0.0759493670886076,0.911392405063291,0.0126582278481013,0.75,0.25,0.0606060606060606,0.939393939393939,0,0.572328033999685,0.833333333333333,0.951219512195122,0.947368421052632,0.75,0.777777777777778,0.939393939393939,0.911392405063291,"TRUMP"
"6","Cayuga",36011,"Cayuga",692,1791189978,445707605,80026,62728,31929,30799,52082,21.4,75378,74042,41.5,40,43.1,2805,2592,3024,1942,1136,"Cayuga",43,1,7,17,20,6,0,4,9,2,5,1,4,2,0,0,7,6,2,0,2,0,1,0,0,0,18,11,6,2,6,2,3,1,0,0,94,13,15,7,1,35,51,88,37,0.18616846935431,0.495575221238938,0.318256309406752,0.519733185102835,0.480266814897165,0,1,0.0526315789473684,0.947368421052632,0,0.4,0.6,0.25,0.6875,0.0625,0.818181818181818,0.181818181818182,0.25,0.75,0,0.714285714285714,0.285714285714286,0,1,0,1,0,0,1,0,0.540540540540541,0.459459459459459,0.137254901960784,0.843137254901961,0.0196078431372549,0.464285714285714,0.535714285714286,0.162790697674419,0.813953488372093,0.0232558139534884,0.495575221238938,0.947368421052632,0.6875,0.75,1,1,0.813953488372093,0.843137254901961,"TRUMP"
"7","Chautauqua",36013,"Chautauqua",1060,2745973829,1139483300,134905,105459,51323,54136,42993,20.9,127434,124875,40.9,39.6,42.3,4431,3865,5027,2294,2016,"Chautauqua",329,5,743,35,39,155,5,4,15,5,10,196,244,209,65,29,3,9,4,4,15,0,3,1,0,1,92,111,72,15,39,10,62,70,5,8,1306,24,16,649,4,275,1077,1151,74,0.215915176180786,0.538395630288101,0.245689193531113,0.534112825458052,0.465887174541948,0.625,0.375,0.680555555555556,0.319444444444444,0,0.307692307692308,0.692307692307692,0.681564245810056,0.310055865921788,0.00837988826815642,0.789473684210526,0.210526315789474,0.74113475177305,0.25531914893617,0.00354609929078014,0.4,0.6,0.420289855072464,0.565217391304348,0.0144927536231884,0.555555555555556,0.444444444444444,0.8125,0.1875,0,0.527027027027027,0.472972972972973,0.689879294336119,0.305478180129991,0.00464252553389044,0.6,0.4,0.699353448275862,0.296336206896552,0.00431034482758621,0.538395630288101,0.319444444444444,0.310055865921788,0.25531914893617,0.565217391304348,0.1875,0.296336206896552,0.305478180129991,"TRUMP"
"8","Chemung",36015,"Chemung",407,1055035677,8877179,88830,68950,33973,34977,50320,23.4,81009,78771,40.9,39.4,42.4,2752,2740,4208,2372,1820,"Chemung",51,0,9,38,14,13,1,3,4,0,6,1,3,2,1,2,1,9,11,3,14,0,0,0,0,0,5,16,18,2,10,1,5,2,2,3,125,8,21,6,0,39,60,112,52,0.216666666666667,0.500952380952381,0.282380952380952,0.50109249817917,0.49890750182083,0.5,0.5,0.166666666666667,0.833333333333333,0,0.25,0.75,0.157894736842105,0.842105263157895,0,0.266666666666667,0.733333333333333,0.1,0.9,0,0.3,0.7,0.166666666666667,0.833333333333333,0,0,1,0.333333333333333,0.666666666666667,0,0.269230769230769,0.730769230769231,0.15,0.85,0,0.275862068965517,0.724137931034483,0.133333333333333,0.866666666666667,0,0.500952380952381,0.833333333333333,0.842105263157895,0.9,0.833333333333333,0.666666666666667,0.866666666666667,0.85,"TRUMP"
"9","Chenango",36017,"Chenango",894,2314279661,13161203,50477,38998,19282,19716,45668,17.4,49525,48896,42.9,42,43.9,1613,1062,2659,1394,1133,"Chenango",10,0,1,5,1,1,0,1,0,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,0,0,2,1,2,3,2,0,0,0,0,1,18,1,4,1,0,5,11,17,6,0.218472811415349,0.512726571538758,0.268800617045893,0.602990654205607,0.397009345794393,0,1,0,1,0,0.5,0.5,0.5,0.5,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0.166666666666667,0.833333333333333,0.0909090909090909,0.909090909090909,0,0.2,0.8,0.166666666666667,0.833333333333333,0,0.512726571538758,1,0.5,1,1,1,0.833333333333333,0.909090909090909,"TRUMP"
"10","Clinton",36019,"Clinton",1038,2688025469,206355454,82128,66238,33912,32326,49930,22.1,77099,75997,39.1,38,40.2,4797,1774,2487,1389,739,"Clinton",60,7,7,35,75,14,11,15,30,8,11,1,0,1,1,4,3,6,11,5,10,1,3,2,0,1,11,11,17,4,17,3,1,6,1,3,198,56,20,2,6,39,74,184,110,0.160130010834236,0.538894907908992,0.300975081256771,0.730025871252473,0.269974128747527,0.785714285714286,0.214285714285714,0.0769230769230769,0.846153846153846,0.0769230769230769,0.714285714285714,0.285714285714286,0,0.785714285714286,0.214285714285714,0.731707317073171,0.268292682926829,0.05,0.85,0.1,0.523809523809524,0.476190476190476,0.181818181818182,0.772727272727273,0.0454545454545455,0.615384615384615,0.384615384615385,0.2,0.8,0,0.681818181818182,0.318181818181818,0.0945945945945946,0.810810810810811,0.0945945945945946,0.736842105263158,0.263157894736842,0.0425531914893617,0.829787234042553,0.127659574468085,0.538894907908992,0.846153846153846,0.785714285714286,0.85,0.772727272727273,0.8,0.829787234042553,0.810810810810811,"TRUMP"
